id,width,height,aspect_ratio,format,size,category,url
1,1200.0,1200.0,1.0,JPEG,1261560.0,animal,https://jennifertarheelreader.files.wordpress.com/2019/04/20190420_164538.jpg?w=1200&
2,1600.0,1067.0,1.499531396438613,JPEG,652773.0,animal,http://lanting.com/wp-content/uploads/Lanting_Emperor-_Penguin_Huddle_003228-01.jpg
3,2048.0,1365.0,1.5003663003663004,JPEG,1062919.0,animal,https://drscdn.500px.org/photo/41458556/m%3D2048_k%3D1_a%3D1/v2?sig=3385e08a3cc899eee66ae14e16e76da0a6eec168e5a856c01da91756f23e72a2
4,1920.0,1440.0,1.3333333333333333,JPEG,440027.0,animal,https://images7.alphacoders.com/755/thumb-1920-755452.jpg
5,1500.0,1125.0,1.3333333333333333,JPEG,1617596.0,animal,https://images.squarespace-cdn.com/content/v1/545d2666e4b04d921d5c4f19/1416456450808-9B220RMO7G3X5IT4GJX1/ke17ZwdGBToddI8pDm48kF9aEDQaTpZHfWEO2zppK7Z7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UX7HUUwySjcPdRBGehEKrDf5zebfiuf9u6oCHzr2lsfYZD7bBzAwq_2wCJyqgJebgg/2014++ranch+hunts+058.JPG
6,1800.0,1350.0,1.3333333333333333,JPEG,974719.0,animal,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60394901/1800
7,1920.0,1200.0,1.6,JPEG,941988.0,animal,https://eskipaper.com/images/leopard-backgrounds-1.jpg
8,1634.0,1167.0,1.4001713796058268,JPEG,345827.0,animal,http://www.tamrawight.com/wp-content/uploads/2013/09/Great-Blue-Heron-226.jpg
9,1600.0,1067.0,1.499531396438613,JPEG,725563.0,animal,https://i2.wp.com/dannybach.com/wp-content/uploads/2019/01/BearBileFarmMicroChipping_byDannyBach_22.jpg?fit=1600%2C1067
10,1200.0,1200.0,1.0,JPEG,402073.0,animal,https://cdn.shopify.com/s/files/1/1231/4416/products/Bald_Eagle_2.jpg?v=1567460362
11,1080.0,1920.0,0.5625,JPEG,439360.0,animal,https://www.itl.cat/pngfile/big/152-1522247_apple-iphone-7-plus-lion-king-of-the.jpg
12,1600.0,1066.0,1.5009380863039399,JPEG,112261.0,animal,https://www.sundestinations.co.za/blog/wp-content/uploads/2018/07/HyenaWalkersBushVilla10.jpg
13,1700.0,1133.0,1.500441306266549,JPEG,324836.0,animal,https://ee8921c9722b63d951ae-4dbd3818450df2769e84e3f20613e69c.ssl.cf1.rackcdn.com/Website2019_David_Coulson_Stories-PoachingPoverty-1.jpg
14,1280.0,1280.0,1.0,JPEG,564610.0,animal,https://cdn.shopify.com/s/files/1/0010/3468/2404/products/IMG_9949_1280x1280.jpeg?v=1553282030
15,1120.0,1120.0,1.0,JPEG,59557.0,animal,https://img-fotki.yandex.ru/get/42692/361085784.5b1/0_19a1d5_978f067c_orig.Jpg
16,2000.0,1676.0,1.1933174224343674,JPEG,800343.0,animal,https://media.vanityfair.com/photos/5bfc72a3f8e9b95139585460/master/w_2560%2Cc_limit/ed-letter-holiday-19.jpg
